latitude,longitude,address,charger_type,charging_capacity_kw,cost_usd_per_kwh,availability_simple,avg_users_per_day,station_operator
-33.400998,77.974972,"4826 Random Rd, City 98, Country",AC Level 2,350.0,0.27,daytime,35.0,EVgo
37.861857,-122.490299,"8970 San Francisco Ave, San Francisco",DC Fast Charger,350.0,0.19,24/7,83.0,EVgo
13.776092,100.412776,"5974 Bangkok Ave, Bangkok",AC Level 2,50.0,0.48,6:00-22:00,24.0,ChargePoint
43.62825,-79.468935,"6995 Toronto Ave, Toronto",AC Level 1,350.0,0.41,daytime,70.0,Greenlots
19.119865,72.913368,"5704 Mumbai Ave, Mumbai",AC Level 2,350.0,0.11,daytime,19.0,EVgo
-23.695008,-46.548187,"1545 São Paulo Ave, São Paulo",AC Level 2,350.0,0.22,6:00-22:00,39.0,Ionity
55.762409,37.65583,"1390 Moscow Ave, Moscow",AC Level 1,350.0,0.4,24/7,89.0,ChargePoint
13.715561,100.561468,"7684 Bangkok Ave, Bangkok",AC Level 2,350.0,0.26,24/7,72.0,Ionity
41.807653,-87.755349,"6203 Chicago Ave, Chicago",AC Level 2,350.0,0.49,daytime,68.0,Greenlots
39.968701,116.433865,"4339 Beijing Ave, Beijing",AC Level 2,150.0,0.37,daytime,82.0,Tesla
19.944111,26.228083,"7123 Random Rd, City 463, Country",AC Level 1,22.0,0.39,daytime,59.0,EVgo
55.81937,37.543245,"3932 Moscow Ave, Moscow",AC Level 1,150.0,0.17,6:00-22:00,18.0,Greenlots
52.506967,13.345088,"9250 Berlin Ave, Berlin",AC Level 1,22.0,0.16,daytime,73.0,ChargePoint
41.847035,-87.670005,"9047 Chicago Ave, Chicago",AC Level 2,50.0,0.16,24/7,66.0,Tesla
25.392096,55.28618,"3451 Dubai Ave, Dubai",AC Level 2,350.0,0.41,24/7,46.0,EVgo
25.335831,55.227629,"3518 Dubai Ave, Dubai",AC Level 2,22.0,0.34,6:00-22:00,89.0,EVgo
13.877602,100.508728,"3181 Bangkok Ave, Bangkok",AC Level 1,350.0,0.17,6:00-22:00,28.0,Ionity
37.790361,-122.378324,"4733 San Francisco Ave, San Francisco",AC Level 1,150.0,0.44,24/7,60.0,ChargePoint
37.695636,127.050246,"9257 Seoul Ave, Seoul",AC Level 1,350.0,0.25,daytime,29.0,Tesla
19.519719,-99.171733,"7288 Mexico City Ave, Mexico City",DC Fast Charger,350.0,0.25,6:00-22:00,12.0,Tesla
81.568159,-92.791385,"6470 Random Rd, City 207, Country",DC Fast Charger,150.0,0.3,6:00-22:00,43.0,Ionity
55.738402,37.675763,"9338 Moscow Ave, Moscow",AC Level 2,350.0,0.1,24/7,47.0,Tesla
-33.826489,18.54196,"1194 Cape Town Ave, Cape Town",AC Level 2,350.0,0.43,daytime,14.0,Greenlots
52.43128,13.407406,"128 Berlin Ave, Berlin",DC Fast Charger,22.0,0.21,24/7,52.0,Tesla
41.989867,-87.637143,"1788 Chicago Ave, Chicago",AC Level 1,50.0,0.5,daytime,67.0,ChargePoint
39.908197,116.390126,"6257 Beijing Ave, Beijing",DC Fast Charger,50.0,0.47,24/7,99.0,Greenlots
13.743441,100.449744,"5641 Bangkok Ave, Bangkok",DC Fast Charger,150.0,0.5,daytime,25.0,ChargePoint
-23.654772,-46.534003,"1145 São Paulo Ave, São Paulo",AC Level 1,50.0,0.25,24/7,52.0,Tesla
-33.718044,151.217306,"3343 Sydney Ave, Sydney",AC Level 1,22.0,0.45,6:00-22:00,72.0,Ionity
39.807514,116.203733,"7835 Beijing Ave, Beijing",DC Fast Charger,50.0,0.2,6:00-22:00,27.0,EVgo
53.03844,17.213144,"8491 Random Rd, City 59, Country",AC Level 2,22.0,0.17,24/7,36.0,Tesla
39.999797,116.345712,"3787 Beijing Ave, Beijing",AC Level 2,150.0,0.19,daytime,90.0,Tesla
-23.619267,-46.67757,"5423 São Paulo Ave, São Paulo",DC Fast Charger,350.0,0.46,24/7,97.0,Tesla
39.843388,116.357078,"8032 Beijing Ave, Beijing",AC Level 1,150.0,0.21,6:00-22:00,59.0,EVgo
41.868532,-87.602875,"9647 Chicago Ave, Chicago",AC Level 2,50.0,0.22,daytime,16.0,Ionity
43.634205,-79.494221,"1648 Toronto Ave, Toronto",AC Level 2,22.0,0.39,6:00-22:00,21.0,Greenlots
13.756978,100.402198,"880 Bangkok Ave, Bangkok",AC Level 1,350.0,0.29,daytime,50.0,Greenlots
-33.759342,151.210366,"8960 Sydney Ave, Sydney",AC Level 1,22.0,0.13,daytime,61.0,Ionity
39.941888,116.320916,"2131 Beijing Ave, Beijing",DC Fast Charger,350.0,0.37,24/7,69.0,Ionity
-33.726294,18.460786,"6005 Cape Town Ave, Cape Town",AC Level 2,50.0,0.41,24/7,15.0,Tesla
-52.343695,-47.887828,"1309 Random Rd, City 47, Country",AC Level 1,350.0,0.44,6:00-22:00,20.0,EVgo
41.978341,-87.77332,"2960 Chicago Ave, Chicago",DC Fast Charger,50.0,0.39,daytime,14.0,Tesla
25.281221,55.258951,"1916 Dubai Ave, Dubai",AC Level 1,50.0,0.27,6:00-22:00,73.0,Greenlots
37.574357,127.067507,"5156 Seoul Ave, Seoul",AC Level 1,50.0,0.36,daytime,96.0,ChargePoint
-33.737572,151.335511,"7799 Sydney Ave, Sydney",AC Level 2,22.0,0.4,daytime,78.0,Ionity
41.935571,-87.741868,"8397 Chicago Ave, Chicago",DC Fast Charger,50.0,0.22,daytime,12.0,EVgo
19.055518,72.88937,"2970 Mumbai Ave, Mumbai",AC Level 1,50.0,0.35,24/7,68.0,Ionity
